,xi,sigma xi,frac err in x,yi,sigma yi,frac err in y,xi^2,xi*yi,yi(fitted),residue ei,ei^2
0,27.58,1.94,0.07034082668600436,2010300.0,3690.0000000000005,0.0018355469332935386,760.6564,55444074.0,1749929.0276749409,260370.97232505912,67793043229.496704
1,28.78,2.02,0.07018763029881862,1940400.0,5100.0,0.0026283240568954853,828.2884,55844712.0,1837230.6798631954,103169.3201368046,10643908617.490475
2,35.18,2.46,0.06992609437180217,2416800.0,2100.0,0.000868917576961271,1237.6324,85023024.0,2302839.491533885,113960.50846611499,12986997489.855467
3,24.48,1.74,0.07107843137254902,1350900.0,2100.0,0.001554519209415945,599.2704,33070032.0,1524399.7595219505,-173499.7595219505,30102166554.174652
4,12.45,0.92,0.07389558232931728,550200.0,300.0,0.0005452562704471102,155.00249999999997,6849990.0,649200.6963347008,-99000.6963347008,9801137874.75564
5,3.835,0.159,0.041460234680573665,269100.0,2100.0,0.007803790412486065,14.707225,1031998.5,22447.584999858344,246652.41500014166,60837413825.40211
6,39.613,2.237,0.056471360411985964,2803800.0,900.0,0.00032099293815536056,1569.189769,111066929.4,2625346.344992661,178453.65500733885,31845706985.478313
7,18.75,2.227,0.11877333333333333,1126800.0,2001.0,0.0017758253461128862,351.5625,21127500.0,1107534.370323036,19265.6296769639,371164486.84991217
8,23.92,1.71,0.07148829431438126,1326900.0,5100.0,0.003843545105132263,572.1664000000001,31739448.000000004,1483658.9885007653,-156758.9885007653,24573380475.783066
9,17.31,1.23,0.0710571923743501,993600.0,2700.0,0.002717391304347826,299.63609999999994,17199216.0,1002772.3876971309,-9172.387697130907,84132696.06647843
10,18.24,1.33,0.07291666666666667,888599.9999999999,600.0,0.0006752194463200541,332.69759999999997,16208063.999999996,1070431.168143028,-181831.16814302804,33062573708.258137
11,33.16,2.33,0.07026537997587455,2113800.0,1809.0,0.0008558047118932728,1099.5855999999999,70093608.0,2155881.7103503235,-42081.710350323236,1770870346.0085018
12,40.06,2.81,0.07014478282576135,2650800.0,6900.0,0.002602987777274785,1604.8036000000002,106191048.0,2657866.2104327865,-7066.210432786262,49931329.88041741
13,16.98,1.24,0.07302709069493521,803700.0,2100.0,0.0026129152668906306,288.3204,13646826.0,978764.4333453609,-175064.4333453609,30647555822.532314
14,15.79,1.16,0.07346421785940468,722400.0,2100.0,0.0029069767441860465,249.3241,11406696.0,892190.2949253421,-169790.29492534208,28828744250.834644
15,17.47,1.26,0.07212364052661706,922500.0,5100.0,0.0055284552845528455,305.20089999999993,16116074.999999998,1014412.6079888982,-91912.60798889818,8447927507.3208685
16,19.45,1.41,0.0724935732647815,981600.0,5100.0,0.00519559902200489,378.30249999999995,19092120.0,1158460.3340995177,-176860.33409951767,31279577777.79301
17,12.87,0.94,0.07303807303807304,610500.0,2100.0,0.0034398034398034397,165.63689999999997,7857134.999999999,679756.2746005899,-69256.27460058988,4796431571.552311
18,28.05,1.99,0.07094474153297682,1567200.0,600.0,0.00038284839203675346,786.8025,43959960.0,1784122.1747820072,-216922.17478200723,47055229912.15569
19,21.19,1.51,0.07126002831524303,1151700.0,600.0,0.0005209690023443605,449.01610000000005,24404523.0,1285047.7297724867,-133347.72977248672,17781617035.476143
20,79.05,5.54,0.07008222643896268,5152500.0,6900.0,0.001339155749636099,6248.902499999999,407305125.0,5494442.392782816,-341942.3927828155,116924599982.03728
21,12.18,0.86,0.07060755336617405,755400.0,5100.0,0.006751389992057188,148.3524,9200772.0,629557.8245923436,125842.17540765635,15836253111.331348
22,35.63,2.49,0.06988492843109739,2372700.0,600.0,0.00025287646984448094,1269.4969,84539301.0,2335577.611104481,37122.38889551931,1378071757.3101754
23,19.61,1.37,0.06986231514533402,1362000.0,3000.0000000000005,0.0022026431718061676,384.5521,26708820.0,1170100.554391285,191899.44560871506,36825397224.93219
24,20.83,1.46,0.0700912145943351,1485000.0000000002,900.0,0.000606060606060606,433.8888999999999,30932550.000000004,1258857.2341160101,226142.7658839901,51140550561.661156
25,33.4,2.34,0.07005988023952096,2413800.0,3600.0,0.0014914243102162564,1115.56,80620920.0,2173342.0407879744,240457.95921202586,57820030148.41229
26,66.47,4.67,0.0702572589137957,4880400.0,2100.0,0.0004302925989672978,4418.2609,324400188.0,4579230.0723426165,301169.9276573837,90703325325.15375
