Galaxy,Angular Spread (mrad),L-K (angstrom),L-H (angstrom),L-alpha (angstrom),Distance (Mpc),Redshift of L-K,Redshift of L-H,Redshift of L-alpha,Average redshift,Average velocity (m/s),NASA dist,sigma dist,NASA z,sigma z
1357,0.709,3916.4,3962.2,6555.6,31.02961918,0.004397895,0.001587502,0.001097093,0.00236083,708248.9391,27.58,1.94,0.006701,1.23E-05
1832,0.667,3912.6,3959.8,6553.2,32.98350825,0.005363907,0.002192264,0.00146279,0.00300632,901896.1107,28.78,2.02,0.006468,1.70E-05
2276,0.624,3959.8,3996.2,6577.3,35.25641026,0.006634975,0.006979967,0.002209423,0.005274788,1582436.476,35.18,2.46,0.008056,7.00E-06
2775,0.737,3921.1,3953.6,6561.8,29.85074627,0.003203091,0.003754567,0.000152374,0.002370011,711003.2441,24.48,1.74,0.004503,7.00E-06
2903,1.892,3937.4,3971.5,6574.2,11.62790698,0.00094059,0.000755953,0.001737063,0.001144536,343360.6863,12.45,0.92,0.001834,1.00E-06
3034,2.437,3935.8,3971.5,6563.3,2.437,0.000533849,0.000755953,7.62E-05,0.00045533,136598.8664,3.835,0.159,0.000897,7.00E-06
3147,0.624,3920.3,4002.4,6592.7,35.25641026,0.003406462,0.00854227,0.004555982,0.005501572,1650471.469,39.613,2.237,0.009346,3.00E-06
3227,1.395,3934.3,3982.3,6555.6,15.77060932,0.000152528,0.003477384,0.001097093,0.001575668,472700.5261,18.75,2.227,0.003756,6.67E-06
3245,0.69,3956,3983.8,6561.8,31.88405797,0.005668963,0.003855361,0.000152374,0.003225566,967669.8017,23.92,1.71,0.004423,1.70E-05
3310,0.933,3945.1,3987.7,6578.8,23.57984995,0.002898035,0.0048381,0.002437984,0.003391373,1017411.875,17.31,1.23,0.003312,9.00E-06
3368,0.928,3945.9,3980,6567.2,23.70689655,0.003101406,0.00289782,0.000670446,0.002223224,666967.1678,18.24,1.33,0.002962,2.00E-06
3471,0.501,3939.7,3973.8,6555.6,43.91217565,0.001525282,0.001335517,0.001097093,0.001319297,395789.1444,33.16,2.33,0.007046,6.03E-06
3516,0.459,3949,3999.3,6564.1,47.93028322,0.003889468,0.007761119,0.000198086,0.003949558,1184867.292,40.06,2.81,0.008836,2.30E-05
3623,2.122,3939.7,3975.3,6574.2,10.36757776,0.001525282,0.001713494,0.001737063,0.001658613,497583.8753,16.98,1.24,0.002679,7.00E-06
3627,2.114,3942,3977.6,6564.9,10.40681173,0.002109973,0.002293058,0.000319985,0.001574339,472301.6002,15.79,1.16,0.002408,7.00E-06
3941,0.793,3945.9,3980.7,6561.8,27.74274905,0.003101406,0.003074209,0.000152374,0.00210933,632798.9187,17.47,1.26,0.003075,1.70E-05
4472,1.107,3949.8,3978.4,6557.9,19.87353207,0.004092839,0.002494645,0.000746633,0.002444706,733411.667,19.45,1.41,0.003272,1.70E-05
4631,3.469,3950.5,3980,6577.3,6.34188527,0.004270788,0.00289782,0.002209423,0.00312601,937803.1459,12.87,0.94,0.002035,7.00E-06
4775,0.62,3940.5,3957.5,6551.7,35.48387097,0.001728652,0.002771828,0.001691351,0.002063944,619183.1813,28.05,1.99,0.005224,2.00E-06
5248,1.104,3946.7,3981.5,6571.1,19.92753623,0.003304777,0.003275797,0.001264704,0.002615093,784527.7664,21.19,1.51,0.003839,2.00E-06
5548,0.312,3956,4001.7,6602.8,70.51282051,0.005668963,0.008365881,0.006094959,0.006709935,2012980.385,79.05,5.54,0.017175,2.30E-05
5866,1.374,3952.9,3972.2,6595.8,16.01164483,0.004880901,0.000932342,0.005028342,0.003613862,1084158.469,12.18,0.86,0.002518,1.70E-05
6181,0.652,3921.1,3997.8,6574.2,33.74233129,0.003203091,0.007383142,0.001737063,0.004107766,1232329.693,35.63,2.49,0.007909,2.00E-06
6217,0.764,3951.3,3985.4,6588.9,28.79581152,0.004474159,0.004258536,0.003976961,0.004236552,1270965.621,19.61,1.37,0.00454,1.00E-05
6643,0.969,3934.3,3952.9,6563.3,22.70381837,0.000152528,0.003930956,7.62E-05,0.001386557,415967.1428,20.83,1.46,0.00495,3.00E-06
6764,0.576,3958.3,3995,6554,38.19444444,0.006253654,0.006677586,0.001340891,0.004757377,1427213.139,33.4,2.34,0.008046,1.20E-05
7469,0.326,3994.7,4032.7,6572.6,67.48466258,0.015507029,0.016177397,0.001493265,0.01105923,3317769.108,66.47,4.67,0.016268,7.00E-06
